Distancia,Latitud,Longitud,BAZ,Magnitud,Estacion,TiempoInicio,TiempoFin
94.0028915405,-29.4508993455,-72.3986080962,255.411071786,3.65,CO10,2021-07-04T12:07:43.000000Z,2021-07-04T12:08:19.975000Z
79.2292404175,-29.6883915306,-70.8242462574,128.949313341,3.58,CO10,2021-07-04T12:08:49.000000Z,2021-07-04T12:09:37.975000Z
-89.4503173828,-28.6819986636,-70.7984940148,226.363807208,3.16,CO10,2021-07-04T12:10:29.000000Z,2021-07-04T12:13:45.975000Z
-86.5329589844,-28.7909766791,-72.187026449,124.98337766,2.77,CO10,2021-07-04T12:16:41.000000Z,2021-07-04T12:20:19.975000Z
72.560005188,-29.7975329568,-71.85413537,211.601487129,3.55,CO10,2021-07-04T12:23:09.000000Z,2021-07-04T12:25:05.975000Z
61.7793045044,-29.6792442392,-71.8537410524,217.991921399,2.95,CO10,2021-07-04T12:26:09.000000Z,2021-07-04T12:27:35.975000Z
-36.4539489746,-29.5683440125,-71.4916565554,4.69414184908,3.46,CO10,2021-07-04T12:44:51.000000Z,2021-07-04T12:47:03.975000Z
84.0321502686,-29.8497119819,-71.9769969557,216.407235549,3.44,CO10,2021-07-04T12:47:57.000000Z,2021-07-04T12:49:05.975000Z
68.9436798096,-28.9621635051,-72.0942200449,296.43422613,2.97,CO10,2021-07-04T12:50:07.000000Z,2021-07-04T12:51:07.975000Z
78.6035995483,-29.0344749273,-72.233777401,286.706151619,3.46,CO10,2021-07-04T12:52:07.000000Z,2021-07-04T12:54:59.975000Z
45.9169311523,-29.2088260465,-71.9317449301,274.279742576,3.02,CO10,2021-07-04T13:02:17.000000Z,2021-07-04T13:03:31.975000Z
89.7732391357,-29.8816707011,-70.8947894034,142.472541482,3.07,CO10,2021-07-04T13:09:45.000000Z,2021-07-04T13:10:37.975000Z
